occ1,hisco,lang,code1,code2,code3,code4,code5
Male coal dealer in Gloucestershire,45190,en,653.0,,,,
Male master mason employ man in Durham,93110,en,,,,,
Female assist in London (Parts Of Middlesex,99999,en,1918.0,,,,
Female farmer acres in Yorkshire West Riding,61110,en,764.0,,,,
Male boy errand greengrocers in Kent (Extra London),41110,en,,,,,
Male professor of music and german in Warwickshire,17210,en,,,,,
Female family servant cook in Northamptonshire,53100,en,670.0,,,,
Male gardener labourer n d in Derbyshire,62200,en,779.0,,,,
Male farmer of acres employing men boys in Wiltshire,61110,en,764.0,,,,
Female waitress of house in Lancashire,53300,en,,,,,
Male apprentice over looker of in Cheshire,99990,en,,,,,
Male clerk to stipendiary magistrate in Glamorganshire,39100,en,585.0,,,,
Male servant in Monmouthshire,95110,en,,,,,
Male boy paper night in Dorset,78100,en,1173.0,,,,
Female justice of the peace and import merchant wife in Essex,55990,en,,,,,
Female boy in Leicestershire,99999,en,1918.0,,,,
Male member of christ ch college in Oxfordshire,13920,en,320.0,,,,
Female monthly nurse in Derbyshire,5400,en,184.0,,,,
Male book traveller in Devon,43100,en,628.0,,,,
Male clerk at contractors in London (Parts Of Middlesex,39100,en,585.0,,,,
Male member of st georges guild in Worcestershire,99999,en,1918.0,,,,
Male butcher and farmer farm in Huntingdonshire,78210,en,,,,,
Male engine driver in London,98210,en,,,,,
Female stone delivery wife in Yorkshire West Riding,99999,en,1918.0,,,,
Male brickseller labourer in Lancashire,93590,en,,,,,
Male labourer at paper miller in Dorset,78100,en,1173.0,,,,
Female house hold in Cornwall,54010,en,684.0,,,,
Male hand copper miner in Lancashire,71300,en,871.0,,,,
Female tool gate keeper in Worcestershire,58190,en,,,,,
Male farmer acres in Yorkshire West Riding,61110,en,764.0,,,,
Male retired coal merchant in Northumberland,41190,en,,,,,
Female leaseholders wife in Cornwall,99999,en,1918.0,,,,
Male methodist minister in Lancashire,14110,en,,,,,
Female late gard organist in Essex,19200,en,419.0,,,,
Male paper manufacture in London,79990,en,1238.0,,,,
Female clothes pin maker in Durham,79300,en,1205.0,,,,
Male gentlemans servant dom in Montgomeryshire,55900,en,,,,,
Female scholer in Gloucestershire,99999,en,1918.0,,,,
Male tailor clothes dealer employing men in Yorkshire West Riding,79410,en,,,,,
Male clark in general carriers office in Cheshire,32010,en,,,,,
Female book sellers wife in Pembrokeshire,99999,en,1918.0,,,,
Male miller and inn keeper in Northumberland,77110,en,,,,,
Female bachs wife in Lancashire,55990,en,,,,,
