County,Sex,Occode,final_result,Count,Year,Occupation_String,HISCO_x,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation,standardized_llm
ANGLESEY,Female,181,formerly farmer servant,2,1861,formerly farmers servant,62110,62120,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED",Farm Servant,,formerly farmer servant,agricultural,0.8010048759928248,False,acceptable_quality,[],False,
ANGLESEY,Female,198,collier,1,1861,collier,71120,71105,COAL MINERS - OTHERS BELOW GROUND & UNDEFINED,"Miner, General",,collier,other,0.9,False,acceptable_quality,[],False,
ANGLESEY,Male,130,railway pointman,1,1861,railway pointman,98430,98430,"POINTSMAN, LEVEL CROSSING MAN, GATEKEEPERS",Railway Signaller,,railway pointman,other,0.9,False,acceptable_quality,[],False,
ANGLESEY,Male,173,boy farmer acres employing men,1,1861,farmer  acres employing  men  boy,61110,61110,"FARMER, GRAZIER",General Farmer,,boy farmer acres employing men,agricultural,0.8669441645896738,False,acceptable_quality,[],False,
ANGLESEY,Male,720,hostler at an hotel,1,1861,hostler at an hotel,59990,54090,HOTEL PORTERS BOOTS KNIFEMEN PLATEMEN PLATE CLEANERS POLISHERS (NON-RESIDENT),Other Maids and Related Housekeeping Service Workers,,hostler at an hotel,other,0.9,False,acceptable_quality,[],False,
ANGLESEY,Male,778,annuitant,1,1861,annuitant,99999,99999,PRIVATE MEANS,Unspecified worktitle or several titles,,annuitant,other,0.9,False,acceptable_quality,[],False,
BEDFORDSHIRE,Female,772,houses and land,1,1861,houses and land,99999,99999,RETIRED (NOT ARMY OR NAVY),Unspecified worktitle or several titles,,houses and land,other,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,
BEDFORDSHIRE,Male,145,boy victualler from emp man,1,1861,victualler from  emp  man  boy,98550,97130,"VAN, ETC.---GUARD, BOY",Railway and Road Vehicle Loader,,boy victualler from emp man,other,0.8632962987432597,False,acceptable_quality,[],False,
BEDFORDSHIRE,Male,173,farmer employing acres,1,1861,farmer employing  acres,61110,61110,"FARMER, GRAZIER",General Farmer,,farmer employing acres,agricultural,0.8882040123900088,False,acceptable_quality,[],False,
BEDFORDSHIRE,Male,714,market gardiner beer retailer,1,1861,market gardiner  beer retailer,51050,51050,BEERSELLERS,"Working Proprietor  (Cafe, Bar and Snack Bar)",,market gardiner beer retailer,other,0.8910390395989597,False,acceptable_quality,[],False,
BERKSHIRE,Male,771,machinist,9,1861,machinist,83400,83410,MACHINISTS MACHINE WORKERS UNDEFINED,"MachineTool Operator, General",,machinist,metalwork_engineering,0.9,False,acceptable_quality,[],False,
BERKSHIRE,Female,84,pauper domestic servant,1,1861,pauper formerly domestic servant,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,pauper domestic servant,domestic_service,0.7306795067747539,False,acceptable_quality,[],False,
BERKSHIRE,Male,409,late almswoman carpenter,1,1861,almswoman late carpenter,95410,95410,"CARPENTER, JOINER","Carpenter, General",,late almswoman carpenter,unemployed_seeking,0.8817452764851115,False,acceptable_quality,[],False,
BERKSHIRE,Male,482,chemists druggist,1,1861,chemists  druggist,41010,6710,CHEMISTS DRUGGISTS,Pharmacist,,chemists druggist,retail_trade,0.8847599748819491,False,acceptable_quality,[],False,
BERKSHIRE,Male,612,linen draper assistants,1,1861,linen draper  assistants,75600,75615,FLAX LINEN BLEACHERS,Textile Bleacher,moderate,linen draper assistants,retail_trade,0.8887140987146643,False,acceptable_quality,[],False,
