Year,County,Sex,Occupation_String,Occode,HISCO_x,Count,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation
1861,YORKSHIRE EAST RIDING,Male,meat butcher,682,77310,1,45125,BUTCHERS AND MEAT SALESMEN,"Salesperson, Wholesale or Retail Trade",,meat butcher,food_drink,0.9,False,acceptable_quality,[],False
1861,YORKSHIRE EAST RIDING,Male,lithographic printer apprentice,539,92400,1,92415,LITHOGRAPHERS,Lithographer,,apprentice lithographic printer,crafts_trades,0.8668359459358018,False,acceptable_quality,[],False
1861,YORKSHIRE EAST RIDING,Male,letter carrier and cordwainer,3,37030,1,37030,POSTMEN,Postman,complex,letter carrier and cordwainer,clothing_footwear,0.81,False,multiple_occupation_excluded_from_llm_check,[],True
1861,YORKSHIRE EAST RIDING,Male,coach body maker apprentice,365,81300,7,81920,"COACH, CARRIAGE--MAKER",CoachBody Builder,,apprentice coachmaker body maker,crafts_trades,0.7256134475701508,False,acceptable_quality,[],False
1861,YORKSHIRE EAST RIDING,Male,master carpenter employing men and boys,409,95410,1,95410,"CARPENTER, JOINER","Carpenter, General",,master carpenter employing men and boys,building_construction,0.81,False,multiple_occupation_excluded_from_llm_check,[],True
1861,YORKSHIRE EAST RIDING,Male,farmer of  emp  lab   boys,173,61110,1,61110,"FARMER, GRAZIER",General Farmer,,farmer of emp labourer boys,agricultural,0.8049470599250688,False,acceptable_quality,[],False
1861,YORKSHIRE EAST RIDING,Male,upholsterer,440,79620,2,79620,UPHOLSTERER,Furniture Upholsterer,simple,upholsterer,crafts_trades,0.9,False,acceptable_quality,[],False
1861,YORKSHIRE EAST RIDING,Female,wife to munsh maker,789,99999,1,99999,WIVES ASSISTING GENERALLY IN THEIR HUSBANDS OCCUPATIONS (WIFE OF à),Unspecified worktitle or several titles,,to munsh maker wife,family_dependent,0.8764022223589385,False,acceptable_quality,[],False
1861,YORKSHIRE EAST RIDING,Male,chelsea out pensioner,773,58410,3,99999,ARMY PENSIONERS,Unspecified worktitle or several titles,,pensioner chelsea out,unemployed_seeking,0.6632047963804466,True,modification_poor_result,['chelsea'],False
1861,YORKSHIRE EAST RIDING,Male,out door officer labourer,765,99130,1,99910,GENERAL LABOURERS,Labourer,,out door officer labourer,general_labour,0.9,False,acceptable_quality,[],False
1861,YORKSHIRE EAST RIDING,Female,of parish relief,37,55100,1,31090,"CHURCH, CHAPEL, CEMETERY--OFFICER, ETC.",Government Executive Officials Not Elsewhere Classified,moderate,of parish relief,other,0.9,False,acceptable_quality,[],False
1861,YORKSHIRE EAST RIDING,Male,coach maker employ men and boys,365,81300,1,87370,"COACH, CARRIAGE--MAKER",Vehicle Sheet-Metal Worker,,coachmaker maker employ men and boys,crafts_trades,0.7363391858673934,False,multiple_occupation_excluded_from_llm_check,[],True
1861,YORKSHIRE EAST RIDING,Male,ticket waiter,527,93190,1,92110,TICKET WRITERS,"Printer, General",,ticket waiter,other,0.9,False,acceptable_quality,[],False
1861,YORKSHIRE EAST RIDING,Male,assists his father,750,94990,2,94990,OTHER WORKERS IN SUNDRY INDUSTRIES,Other Production and Related Workers Not Elsewhere Classified,moderate,assists his father,family_dependent,0.9,False,acceptable_quality,[],False
