County,Sex,Occode,final_result,Count,Year,Occupation_String,HISCO_x,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation,standardized_llm,OccCANINE_Check,all_predicted_hisco,prediction_count,prediction_details
Anglesey,Female,788,shopkeeper wife,3,1881,shop keepers wife,99999,99999,WIVES AND OTHERS ENGAGED IN (OWN) HOUSEHOLD DUTIES,Unspecified worktitle or several titles,,shopkeeper wife,family_dependent,0.6754632280275228,False,acceptable_quality,[],False,,"[[14120, np.float32(0.4433275), 'Minister of Religion'], [83520, np.float32(0.3755121), 'Buffing and PolishingMachine Operator']]",,,
Anglesey,Female,758,shop manager,1,1881,shop manager,41010,41025,GENERAL SHOPKEEPERS DEALERS,Working Proprietor (Wholesale or Retail Trade),,shop manager,other,0.9,False,acceptable_quality,[],False,,"[[21340, np.float32(0.39446753), 'Sales Manager (Retail Trade)']]",,,
Anglesey,Male,173,farmer in acres,1,1881,farmer in  acres,61110,61110,"FARMER, GRAZIER",General Farmer,moderate,farmer in acres,agricultural,0.8827447512739507,False,acceptable_quality,[],False,,"[[61110, np.float32(0.8977697), 'General Farmer']]",,,
Anglesey,Male,173,occupier of ac of land farmer,1,1881,occupier of  ac of land farmer,61110,61110,"FARMER, GRAZIER",General Farmer,,occupier of ac of land farmer,agricultural,0.8910390395989597,False,acceptable_quality,[],False,,"[[61110, np.float32(0.8474193), 'General Farmer']]",,,
Bedfordshire,Male,11,police sergeant,4,1881,police sergeant,58220,58220,POLICE,Policeman and other Maintainers of Law and Order (except Military),,police sergeant,public_service,0.9,False,acceptable_quality,[],False,,"[[58220, np.float32(0.9941181), 'Policeman and other Maintainers of Law and Order (except Military)']]",,,
Bedfordshire,Female,82,agl labr housekeeper,1,1881,agl labr housekeeper,54090,54090,"DOMESTIC INDOOR SERVANTS IN HOTELS, LODGING HOUSES AND EATING HOUSES",Other Maids and Related Housekeeping Service Workers,,agl labr housekeeper,domestic_service,0.27,True,unchanged_with_many_invalid_words,"['agl', 'labr']",False,agl labr housekeeper,"[[54020, np.float32(0.4165609), 'House Servant'], [54090, np.float32(0.63537353), 'Other Maids and Related Housekeeping Service Workers']]",,,
Bedfordshire,Female,84,house parlour maid domestic servant,1,1881,house  parlr maid dom serv stc,54020,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,house parlr maid domestic servant stc,domestic_service,0.5858116475210938,True,modification_poor_result,"['parlr', 'stc']",False,house parlr maid domestic servant stc,"[[54020, np.float32(0.9995908), 'House Servant']]",,,
Bedfordshire,Female,107,governess,1,1881,governess sch,13920,13960,GOVERNESSES (DOMESTIC)(NON-RESIDENT),Governess,,governess,professional_clerical,0.8108295125922357,False,acceptable_quality,[],False,,"[[13990, np.float32(0.705275), 'Other Teachers']]",,,
Bedfordshire,Female,772,baker wife,1,1881,retired bakers wife,99999,99999,RETIRED (NOT ARMY OR NAVY),Unspecified worktitle or several titles,,baker wife,family_dependent,0.4829988645051812,True,low_confidence,[],False,baker wife,"[[14120, np.float32(0.7671441), 'Minister of Religion']]",,,
Bedfordshire,Female,788,corn dealer wife,1,1881,horse dealer wife,99999,99999,WIVES AND OTHERS ENGAGED IN (OWN) HOUSEHOLD DUTIES,Unspecified worktitle or several titles,,corn dealer wife,family_dependent,0.7252483021896611,False,acceptable_quality,[],False,,"[[14120, np.float32(0.39201996), 'Minister of Religion']]",,,
Bedfordshire,Male,76,schoolmaster and teacher of music,1,1881,schoolmaster and teacher of music,17120,17135,"MUSICIAN, MUSIC MASTER, SINGER (NOT TEACHERS)",Orchestra and Band Conductor,,schoolmaster and teacher of music,professional_clerical,0.81,False,multiple_occupation_excluded_from_llm_check,[],True,,"[[13020, np.float32(0.9662759), 'Teacher, Level and Subject Unknown, Not University and Higher Education Level'], [13250, np.float32(0.9918888), 'Fine Arts Teacher (Second Level)']]","[]; [[13250, np.float32(0.56021297), 'Fine Arts Teacher (Second Level)']]",2.0,"[{'hisco': '[]', 'split_index': 0, 'occupation': 'schoolmaster'}, {'hisco': ""[[13250, np.float32(0.56021297), 'Fine Arts Teacher (Second Level)']]"", 'split_index': 1, 'occupation': 'teacher of music'}]"
