record_id,original_hisco,enhanced_input,original_occupation,sex,county,count
0,99999,Female shopkeeper wife in Anglesey,shopkeeper wife,Female,Anglesey,3
1,41010,Female shop manager in Anglesey,shop manager,Female,Anglesey,1
2,61110,Male farmer in acres in Anglesey,farmer in acres,Male,Anglesey,1
3,61110,Male occupier of ac of land farmer in Anglesey,occupier of ac of land farmer,Male,Anglesey,1
4,58220,Male police sergeant in Bedfordshire,police sergeant,Male,Bedfordshire,4
5,54090,Female agl labr housekeeper in Bedfordshire,agl labr housekeeper,Female,Bedfordshire,1
6,54020,Female house parlour maid domestic servant in Bedfordshire,house parlour maid domestic servant,Female,Bedfordshire,1
7,13920,Female governess in Bedfordshire,governess,Female,Bedfordshire,1
8,99999,Female baker wife in Bedfordshire,baker wife,Female,Bedfordshire,1
9,99999,Female corn dealer wife in Bedfordshire,corn dealer wife,Female,Bedfordshire,1
10,17120,Male schoolmaster and teacher of music in Bedfordshire,schoolmaster and teacher of music,Male,Bedfordshire,1
11,61110,Male farmer of acres in Bedfordshire,farmer of acres,Male,Bedfordshire,1
12,61400,Male farm bailiff in Bedfordshire,farm bailiff,Male,Bedfordshire,1
13,75600,Male bleacher leghorn in Bedfordshire,bleacher leghorn,Male,Bedfordshire,1
14,99999,Male labourer in gardens n d in Bedfordshire,labourer in gardens n d,Male,Bedfordshire,1
15,62460,Male groom in Berkshire,groom,Male,Berkshire,87
16,54020,Female nursemaid in Berkshire,nursemaid,Female,Berkshire,78
17,41015,Male timber merchant in Berkshire,timber merchant,Male,Berkshire,10
18,62110,Female hand field in Berkshire,hand field,Female,Berkshire,7
19,62460,Male kennelman in Berkshire,kennelman,Male,Berkshire,2
20,-1,Male berks in Berkshire,berks,Male,Berkshire,2
21,54020,Female mothers help dom servant in Berkshire,mothers help dom servant,Female,Berkshire,1
22,44120,Female agent for sutton co parcel delivery in Berkshire,agent for sutton co parcel delivery,Female,Berkshire,1
23,79400,Female glove gaiter maker in Berkshire,glove gaiter maker,Female,Berkshire,1
24,99999,Female farm bailiff daughter in Berkshire,farm bailiff daughter,Female,Berkshire,1
25,14120,Male rector of pangbourne in Berkshire,rector of pangbourne,Male,Berkshire,1
26,14120,Male vicar of wantage in Berkshire,vicar of wantage,Male,Berkshire,1
27,61110,Male farmer of acres employing laborers in Berkshire,farmer of acres employing laborers,Male,Berkshire,1
28,96900,Male engine driver in Berkshire,engine driver,Male,Berkshire,1
29,61110,Male farmer domestic servant indoor in Brecknockshire,farmer domestic servant indoor,Male,Brecknockshire,2
30,95410,Male apprentice carpenter in Brecknockshire,apprentice carpenter,Male,Brecknockshire,2
31,61110,Male farmer acreage not known in Brecknockshire,farmer acreage not known,Male,Brecknockshire,1
32,61110,Male farmer of acres employing agricultural labourer in Brecknockshire,farmer of acres employing agricultural labourer,Male,Brecknockshire,1
33,95140,Male mason tiler plasterer employing man in Brecknockshire,mason tiler plasterer employing man,Male,Brecknockshire,1
34,79130,Female dressmaker in Buckinghamshire,dressmaker,Female,Buckinghamshire,2
35,54020,Female domestic servant in Buckinghamshire,domestic servant,Female,Buckinghamshire,1
36,99999,Female blacksmith wife in Buckinghamshire,blacksmith wife,Female,Buckinghamshire,1
37,2200,Male retired civil engineer in Buckinghamshire,retired civil engineer,Male,Buckinghamshire,1
38,54020,Male valet dom in Buckinghamshire,valet dom,Male,Buckinghamshire,1
39,21230,Male master builder employs men in Buckinghamshire,master builder employs men,Male,Buckinghamshire,1
40,99999,Female unemployed in Cambridgeshire,unemployed,Female,Cambridgeshire,60
41,79120,Male retired tailor in Cambridgeshire,retired tailor,Male,Cambridgeshire,10
42,62110,Male agricultural labourer in Cambridgeshire,agricultural labourer,Male,Cambridgeshire,2
43,62110,Female farm servant in Cambridgeshire,farm servant,Female,Cambridgeshire,1
44,62110,Female housekeeper in Cambridgeshire,housekeeper,Female,Cambridgeshire,1
45,41010,Male horsedealer in Cambridgeshire,horsedealer,Male,Cambridgeshire,1
46,61110,Male stonemason builder emp men boys in Cambridgeshire,stonemason builder emp men boys,Male,Cambridgeshire,1
47,62420,Male agricultural labourer in Cambridgeshire,agricultural labourer,Male,Cambridgeshire,1
48,95110,Male wood stone carver mason in Cambridgeshire,wood stone carver mason,Male,Cambridgeshire,1
49,41010,Male boy linen draper empg men in Cambridgeshire,boy linen draper empg men,Male,Cambridgeshire,1
50,99999,Male child in Cardiganshire,child,Male,Cardiganshire,32
51,58410,Male pensioner naval in Cardiganshire,pensioner naval,Male,Cardiganshire,4
52,54010,Female domestic servant not in employ in Cardiganshire,domestic servant not in employ,Female,Cardiganshire,1
53,99999,Female supervisors wife in Cardiganshire,supervisors wife,Female,Cardiganshire,1
54,62110,Male farmer work on farm agricultural labourer in Cardiganshire,farmer work on farm agricultural labourer,Male,Cardiganshire,1
55,87530,Male apprentice iron manufacture in Cardiganshire,apprentice iron manufacture,Male,Cardiganshire,1
56,80100,Male clog maker wooden shoe in Cardiganshire,clog maker wooden shoe,Male,Cardiganshire,1
57,72200,Male shearer tinman in Carmarthenshire,shearer tinman,Male,Carmarthenshire,2
58,72200,Male furnaceman in tinman works pw in Carmarthenshire,furnaceman in tinman works pw,Male,Carmarthenshire,1
59,41010,Male apprentice draper in Carmarthenshire,apprentice draper,Male,Carmarthenshire,1
60,54020,Female domestic servant in Carnarvonshire,domestic servant,Female,Carnarvonshire,2
61,51020,Male licensed victualler in Carnarvonshire,licensed victualler,Male,Carnarvonshire,2
62,99999,Female labourer wife in Carnarvonshire,labourer wife,Female,Carnarvonshire,1
63,31090,Male farmer rel officer reg of b d in Carnarvonshire,farmer rel officer reg of b d,Male,Carnarvonshire,1
64,61110,Male retired farmer and seaman in Carnarvonshire,retired farmer and seaman,Male,Carnarvonshire,1
65,83120,Male blacksmith asst servant in Carnarvonshire,blacksmith asst servant,Male,Carnarvonshire,1
66,77310,Male pork butcher employing men in Carnarvonshire,pork butcher employing men,Male,Carnarvonshire,1
67,96900,Male engine stoker at a slate quarry in Carnarvonshire,engine stoker at a slate quarry,Male,Carnarvonshire,1
68,62110,Male farm servant in Cheshire,farm servant,Male,Cheshire,42
69,99999,Female coal labourer wife in Cheshire,coal labourer wife,Female,Cheshire,18
70,74920,Male labourer in ry works in Cheshire,labourer in ry works,Male,Cheshire,17
71,51020,Male house proprietor in Cheshire,house proprietor,Male,Cheshire,15
