Year,County,Sex,Occupation_String,Occode,HISCO_x,Count,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation,final_result,standardized_llm
1901,KENT,Male,retired coast guard officer,24,58430,2,58340,MEN OF THE NAVY (INC COASTGUARDS),Other Military Ranks,,retired coast guard officer,unemployed_seeking,0.9,False,acceptable_quality,[],False,retired coast guard officer,
1901,KENT,Male,artist porter,70,16130,1,16130,PAINTERS (ARTISTS),"Painter, Artist",,artist porter,transport_communication,0.9,False,acceptable_quality,[],False,artist porter,
1901,KENT,Female,actress,77,17300,40,17320,ACTORS,Actor,simple,actress,other,0.9,False,acceptable_quality,[],False,actress,
1901,KENT,Female,paper overlooker,519,73300,2,73400,PAPER MANUFACTURE,"Paper Maker, Specialisation Unknown",,paper overlooker,other,0.9,False,acceptable_quality,[],False,paper overlooker,
1901,KENT,Unknown,iron turner,265,84130,2,84190,RAILWAY - SIGNAL SWITCH TURNTABLE FITTERS,Other Machinery Fitters and Machine Assemblers,,iron founder,metalwork_engineering,0.6461874626223217,False,acceptable_quality,[],False,iron founder,
1901,KENT,Male,hay binder on farm,181,62110,1,62120,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED",Farm Servant,,hay binder on farm,other,0.9,False,acceptable_quality,[],False,hay binder on farm,
1901,KENT,Male,time keeper on farm,179,62420,1,62420,"AGRICULTURAL LABOURER, FARM SERVANT--DISTINGUISHED AS IN CHARGE OF CATTLE",Beef Cattle Farm Worker,,time keeper on farm,other,0.9,False,acceptable_quality,[],False,time keeper on farm,
1901,KENT,Male,engineersturner,265,84130,1,84190,RAILWAY - SIGNAL SWITCH TURNTABLE FITTERS,Other Machinery Fitters and Machine Assemblers,simple,engineersturner,other,0.27,True,unchanged_with_many_invalid_words,['engineersturner'],False,engineersturner,engineersturner
1901,KENT,Male,farmer  paint clerk,119,39310,1,30000,COMMERCIAL OR BUSINESS CLERKS,"Clerical or Related Worker, Specialisation Unknown",,farmer painter clerk,agricultural,0.8001275963738969,False,acceptable_quality,[],False,farmer painter clerk,
1901,KENT,Male,manufacturer  director of reeves artists colours,280,84190,1,84190,AGRICULTURAL MACHINE AND IMPLEMENT MAKERS,Other Machinery Fitters and Machine Assemblers,,manufacturer director of reeves artists colours,metalwork_engineering,0.8944617210414472,False,acceptable_quality,[],False,manufacturer director of reeves artists colours,
1901,KENT,Male,poulterers manager,120,21182,1,21110,BANKERS,General Manager,moderate,poulterers manager,other,0.9,False,acceptable_quality,[],False,poulterers manager,
1901,KENT,Male,coach builder apprentice,365,81300,4,81920,"COACH, CARRIAGE--MAKER",CoachBody Builder,,apprentice coachmaker builder,building_construction,0.6803901285256434,False,acceptable_quality,[],False,apprentice coachmaker builder,
1901,KENT,Male,boilers makers assistant,283,3200,1,3200,TECHNICIANS (UNSPECIFIED),"Technician, Specialisation Unknown",,assistant boiler maker,metalwork_engineering,0.6688598759302655,False,acceptable_quality,[],False,assistant boiler maker,
1901,KENT,Female,pill maker,482,41010,1,6710,CHEMISTS DRUGGISTS,Pharmacist,,pill maker,other,0.9,False,acceptable_quality,[],False,pill maker,
1901,KENT,Male,a m s r e,27,58420,1,58340,MEN OF THE MARINES,Other Military Ranks,,a m s r e,other,0.27,True,unchanged_with_many_invalid_words,"['a', 'm', 's', 'r', 'e']",False,marines,a m s r e
1901,KENT,Male,platelayer on s e c railway,131,97430,1,99910,"PLATELAYER, GANGER, PACKER",Labourer,,platelayer on s e c railway,other,0.54,True,unchanged_with_some_invalid_words,"['s', 'e', 'c']",False,platelayer on sec railway,platelayer on s e c railway
1901,KENT,Female,worker,750,94990,21,94990,OTHER WORKERS IN SUNDRY INDUSTRIES,Other Production and Related Workers Not Elsewhere Classified,,worker,agricultural,0.9,False,acceptable_quality,[],False,worker,
1901,KENT,Male,carpenter  joiners apprentice,409,95410,2,95420,"CARPENTER, JOINER",Construction Joiner,,apprentice carpenter joiners,building_construction,0.8547377929901316,False,acceptable_quality,[],False,apprentice carpenter joiners,
1901,KENT,Male,clerk,119,39310,305,30000,COMMERCIAL OR BUSINESS CLERKS,"Clerical or Related Worker, Specialisation Unknown",simple,clerk,transport_communication,0.9,False,acceptable_quality,[],False,clerk,
1901,KENT,Male,ableseaman,157,4250,2,98100,MERCHANT SERVICE; SEAMAN-NAVIGATING DEPARTMENT,"Ships’ Deck Rating, Barge Crew or Boatman, Specialisation Unknown",simple,seaman,transport_communication,0.8158151192955608,False,acceptable_quality,[],False,seaman,
1901,KENT,Male,tarrier,262,83120,2,83110,BLACKSMITHS,"Blacksmith, General",simple,carrier,transport_communication,0.7869734292544878,False,acceptable_quality,[],False,carrier,
1901,KENT,Male,retired silk merchant,634,41010,3,41025,SILK MERCHANTS DEALERS,Working Proprietor (Wholesale or Retail Trade),,retired spirit merchant,unemployed_seeking,0.75062473227257,False,acceptable_quality,[],False,retired spirit merchant,
1901,KENT,Male,inspector metropolitan police,11,58220,1,58220,POLICE,Policeman and other Maintainers of Law and Order (except Military),,inspector metropolitan police,public_service,0.9,False,acceptable_quality,[],False,inspector metropolitan police,
1901,KENT,Male,contractors son carman,791,99999,1,99999,CHILDREN RELATIVES VISITORS AT HOME,Unspecified worktitle or several titles,,contractors carman son,family_dependent,0.884239408539163,False,acceptable_quality,[],False,contractors carman son,
1901,KENT,Female,sewing machine instructor,378,41015,4,41020,ZINC DEALERS,Working Proprietor (Wholesale Trade),,sewing machine instructor,other,0.9,False,acceptable_quality,[],False,sewing machine instructor,
1901,KENT,Female,greengrocer wife,788,99999,1,99999,WIVES AND OTHERS ENGAGED IN (OWN) HOUSEHOLD DUTIES,Unspecified worktitle or several titles,,greengrocer wife,family_dependent,0.9,False,acceptable_quality,[],False,greengrocer wife,
1901,ESSEX,Male,steam engine maker  fitter,263,84130,8,84105,"FITTERS, TURNERS (ENGINE AND MACHINE)","Machinery Fitter, General",,steam engine maker fitter,metalwork_engineering,0.8896124589100938,False,acceptable_quality,[],False,steam engine maker fitter,
1901,ESSEX,Male,day man on farm,181,62110,3,62120,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED",Farm Servant,,day man on farm,other,0.9,False,acceptable_quality,[],False,day man on farm,
1901,ESSEX,Male,cow keeper with father,791,99999,1,99999,CHILDREN RELATIVES VISITORS AT HOME,Unspecified worktitle or several titles,,cowkeeper father,family_dependent,0.5851343814286838,False,acceptable_quality,[],False,cowkeeper father,
1901,ESSEX,Male,auction surveyor  c,66,3010,1,3010,"LAND, HOUSE, SHIP--SURVEYOR","Surveyor, General",moderate,auction surveyor c,other,0.6899403762475131,True,modification_poor_result,['c'],False,auction surveyor,auction surveyor c
1901,ESSEX,Female,soap maker,487,74730,5,74220,SOAP BOILERS AND MAKERS,Cooker (Chemical and Related Processes),,shoe maker,clothing_footwear,0.7125668492805485,False,acceptable_quality,[],False,shoe maker,
1901,ESSEX,Male,retired,772,99999,41,99999,RETIRED (NOT ARMY OR NAVY),Unspecified worktitle or several titles,simple,retired,unemployed_seeking,0.9,False,acceptable_quality,[],False,retired,
1901,ESSEX,Male,nd officer continental boat,14,31090,1,20210,"MUNICIPAL, PARISH, AND  LOCAL OR COUNTY SHERIFFS AND CLERKS",Government Administrator,complex,nd officer continental boatman,transport_communication,0.8034069256676629,False,acceptable_quality,[],False,nd officer continental boatman,
1901,ESSEX,Male,pensioned letter sorter g p o,2,37020,1,37090,OTHER POST OFFICE OFFICERS AND CLERKS,Other Mail Distribution Clerks,,pensioned letter sorter g p o,other,0.54,True,unchanged_with_some_invalid_words,"['g', 'p', 'o']",False,pensioned letter sorter gpo,pensioned letter sorter g p o
1901,ESSEX,Male,at laundry,105,56000,1,56010,"LAUNDRY WORKER: WASHER, IRONER, MANGLER, ETC. (NOT DOMESTIC)","Launderer,  General",moderate,at laundry,other,0.9,False,acceptable_quality,[],False,at laundry,
1901,ESSEX,Male,suet dealer grocer,697,41010,1,41030,GROCERS TEA DEALERS,Working Proprietor (Retail Trade),,suet dealer grocer,food_drink,0.9,False,acceptable_quality,[],False,suet dealer grocer,
1901,ESSEX,Male,retired engine driver railway,127,98300,3,98320,RAILWAY ENGINE--DRIVER STOKER CLEANER,Railway Engine Driver,,retired engine driver,unemployed_seeking,0.7089734961552285,False,acceptable_quality,[],False,retired engine driver,
1901,ESSEX,Male,general labourer sugar refny,765,99130,1,99910,GENERAL LABOURERS,Labourer,,general labourer sugar refny,general_labour,0.54,True,unchanged_with_some_invalid_words,['refny'],False,general labourer sugar refinery,general labourer sugar refny
