Year,County,Sex,Occupation_String,Occode,HISCO_x,Count,HISCO_y,Occode_Desc,HISCO_Desc,complexity,standardized,category,confidence,needs_llm_check,confidence_reason,invalid_words,is_multiple_occupation
1901,KENT,Male,engineersturner,265,84130,1,84190,RAILWAY - SIGNAL SWITCH TURNTABLE FITTERS,Other Machinery Fitters and Machine Assemblers,simple,engineersturner,other,0.27,True,unchanged_with_many_invalid_words,['engineersturner'],False
1901,KENT,Male,a m s r e,27,58420,1,58340,MEN OF THE MARINES,Other Military Ranks,,a m s r e,other,0.27,True,unchanged_with_many_invalid_words,"['a', 'm', 's', 'r', 'e']",False
1901,ESSEX,Male,florest,183,61250,1,62730,"NURSERYMAN, SEEDSMAN, FLORIST",Nursery Worker,simple,florest,other,0.27,True,unchanged_with_many_invalid_words,['florest'],False
1901,ESSEX,Male,musical instut mcht,399,41010,1,41030,MUSICAL INSTRUMENT DEALERS,Working Proprietor (Retail Trade),,musical instut mcht,other,0.27,True,unchanged_with_many_invalid_words,"['instut', 'mcht']",False
1901,DURHAM,Male,ashplalter,436,97490,2,99910,ROAD LABOURERS,Labourer,,ashplalter,other,0.27,True,unchanged_with_many_invalid_words,['ashplalter'],False
1901,HAMPSHIRE,Unknown,houswife,788,99999,2,99999,WIVES AND OTHERS ENGAGED IN (OWN) HOUSEHOLD DUTIES,Unspecified worktitle or several titles,simple,houswife,other,0.27,True,unchanged_with_many_invalid_words,['houswife'],False
1901,HAMPSHIRE,Unknown,bombardier r m a,20,58430,1,58330,SOLDIERS AND NON-COMMISSIONED OFFICERS,Non-Commissioned Officer,,bombardier r m a,other,0.27,True,unchanged_with_many_invalid_words,"['r', 'm', 'a']",False
1901,SUSSEX,Male,purfumer,668,57020,1,57025,HAIRDRESSERS,Women's or Men's Hairdresser,simple,purfumer,other,0.27,True,unchanged_with_many_invalid_words,['purfumer'],False
1901,SUFFOLK,Male,c l,27,58420,1,58340,MEN OF THE MARINES,Other Military Ranks,,c l,other,0.27,True,unchanged_with_many_invalid_words,"['c', 'l']",False
1901,LANCASHIRE,Female,enamler,331,83890,1,83990,OTHER IRON GOODS MAKERS,"Other Blacksmiths, Toolmakers and MachineTool Operators Not Elsewhere Classified",,enamler,other,0.27,True,unchanged_with_many_invalid_words,['enamler'],False
1901,LONDON,Male,sorter tracer g p o,2,37020,2,37020,OTHER POST OFFICE OFFICERS AND CLERKS,Mail Sorting Clerk,,sorter tracer g p o,other,0.27,True,unchanged_with_many_invalid_words,"['g', 'p', 'o']",False
1901,LONDON,Male,dectevive,767,3100,1,3110,DRAUGHTSMEN (UNDEFINED),"Draughtsman, General",simple,dectevive,other,0.27,True,unchanged_with_many_invalid_words,['dectevive'],False
1901,LONDON,Male,cadets servant r m a,27,58420,1,58340,MEN OF THE MARINES,Other Military Ranks,,cadets servant r m a,domestic_service,0.27,True,unchanged_with_many_invalid_words,"['r', 'm', 'a']",False
1901,LONDON,Female,waitressprofess,719,53220,1,53210,HOTEL WAITERS,"Waiter, General",simple,waitressprofess,other,0.27,True,unchanged_with_many_invalid_words,['waitressprofess'],False
1901,LONDON,Male,collecttor,173,61110,1,61110,"FARMER, GRAZIER",General Farmer,,collecttor,other,0.27,True,unchanged_with_many_invalid_words,['collecttor'],False
1901,LANCASHIRE,Male,cellerman,716,59990,10,77890,CELLARMEN,"Other Brewers, Wine and Beverage Makers",simple,cellerman,other,0.27,True,unchanged_with_many_invalid_words,['cellerman'],False
1901,LONDON,Unknown,exhib,81,59990,9,18020,BILLIARDS CRICKET AND OTHER GAMES SERVICE,Professional Sportsman,simple,exhib,other,0.27,True,unchanged_with_many_invalid_words,['exhib'],False
1901,LONDON,Female,photographt,787,99999,2,99999,SCHOLARS ETC,Unspecified worktitle or several titles,simple,photographt,other,0.27,True,unchanged_with_many_invalid_words,['photographt'],False
1901,LONDON,Female,domestice,84,54020,2,54020,OTHER DOMESTIC INDOOR SERVANTS -- UNDEFINED,House Servant,,domestice,other,0.27,True,unchanged_with_many_invalid_words,['domestice'],False
1901,LONDON,Male,cheesmongers,679,77500,1,41025,CHEESEMONGERS BUTTERMEN,Working Proprietor (Wholesale or Retail Trade),simple,cheesmongers,other,0.27,True,unchanged_with_many_invalid_words,['cheesmongers'],False
1901,NORTHAMPTONSHIRE,Male,decorater,421,93120,1,93120,"PAINTERS, DISTEMPERERS & DECORATORS",Building Painter,simple,decorater,other,0.27,True,unchanged_with_many_invalid_words,['decorater'],False
1901,HERTFORDSHIRE,Male,aglc labr horsekeeper,151,98900,1,54090,OMNIBUS SERVICE --OTHERS,Other Maids and Related Housekeeping Service Workers,moderate,aglc labr horsekeeper,personal_service,0.27,True,unchanged_with_many_invalid_words,"['aglc', 'labr']",False
1901,SOMERSET,Male,signalman g w rly,129,98430,1,98430,SIGNALMAN,Railway Signaller,,signalman g w rly,other,0.27,True,unchanged_with_many_invalid_words,"['g', 'w', 'rly']",False
1901,WILTSHIRE,Male,army militia captn rd bn line regt,21,58430,1,58340,MILITIA & YEOMANRY MEN,Other Military Ranks,,army militia captn rd bn line regt,public_service,0.27,True,unchanged_with_many_invalid_words,"['captn', 'rd', 'bn', 'regt']",False
