Year,County,Sex,Occupation_String,Occode,HISCO_x,Count,HISCO_y,Occode_Desc,HISCO_Desc,complexity
1911,CARMARTHENSHIRE,Male,retired chemical workers,772,99999,1,99999,RETIRED (NOT ARMY OR NAVY),Unspecified worktitle or several titles,
1911,GLOUCESTERSHIRE,Male,bakers carman,692,41010,1,41025,BISCUIT CAKE DEALERS (CONFECTIONISTS),Working Proprietor (Wholesale or Retail Trade),
1911,GLAMORGANSHIRE,Male,wood coster winder estate,182,63110,1,63110,WOODMAN,Logger (General),
1911,WORCESTERSHIRE,Female,factory fire clay,230,71130,1,71190,SAND FLINT CLAY GRAVEL CHALK WORKERS,Other Miners and Quarrymen,
1911,LINCOLNSHIRE,Male,marine engineer fishery,158,98200,1,98230,MERCHANT SERVICE; SEAMAN--ENGINEERING DEPARTMENT,Ship’s Oiler and Greaser,
1911,YORKSHIRE WEST RIDING,Male,gr,698,41010,1,41030,GREENGROCERS FRUITERERS POTATO DEALERS,Working Proprietor (Retail Trade),simple
1911,LONDON,Female,boot swing,666,41010,1,41025,FOOTWEAR DEALERS,Working Proprietor (Wholesale or Retail Trade),
1911,YORKSHIRE WEST RIDING,Male,pattern room  man,254,83230,1,83240,PATTERNMAKERS (SPINNING WEAVING MACHINERY MAKING),Metal Pattern Maker (Foundry),moderate
1911,WARWICKSHIRE,Male,examiner,768,84110,22,21110,ARTISANS MECHANICS,General Manager,simple
1911,DERBYSHIRE,Male,manager for w h smithwood son,791,99999,1,99999,CHILDREN RELATIVES VISITORS AT HOME,Unspecified worktitle or several titles,
1911,SUSSEX,Male,cook merchant service,159,52030,1,54060,"MERCHANT SERVICE: SEAMAN--COOKS, STEWARDS, AND OTHERS (SUBSIDIARY SERVICE)",Ship's Steward,
1911,DURHAM,Female,dress makers apprentice,657,79130,13,79140,DRESSMAKERS,Dressmaker,
1911,NOTTINGHAMSHIRE,Male,lace foulder,593,75400,1,75452,LACE MANUFACTURE,Lace Weaver (Hand or Machine),
1911,CHESHIRE,Male,laborer now incompacity  brough accident by earth falling in clay pitat a brick,230,71130,1,71190,SAND FLINT CLAY GRAVEL CHALK WORKERS,Other Miners and Quarrymen,
1911,MERIONETHSHIRE,Male,indian civil servant,8,20200,1,20210,SENIOR OFFIALS AND OTHERS IN EAST INDIA SERVICE,Government Administrator,
1911,LANCASHIRE,Female,comber tenter cardroom cardroom,548,75100,1,75130,COTTON & COTTON GOODS MANUFACTURE CARD BLOWING ROOM PROCESSES,Fibre Picker,complex
1911,BEDFORDSHIRE,Male,worker farm labourer,181,62110,1,62120,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED",Farm Servant,
1911,LEICESTERSHIRE,Female,hhosiery machinist,771,83400,2,83410,MACHINISTS MACHINE WORKERS UNDEFINED,"MachineTool Operator, General",moderate
1911,HAMPSHIRE,Male,watch clock and jewellery repairer,386,84220,2,84220,WATCH AND CLOCK MAKERS,Watch and Clock Assembler,
1911,CAMBRIDGESHIRE,Male,butchers boy apprentice,769,99150,1,99999,APPRENTICES,Unspecified worktitle or several titles,
1911,NORTHAMPTONSHIRE,Male,apprentice engineering,279,84190,11,84190,DOMESTIC MACHINERY MAKERS,Other Machinery Fitters and Machine Assemblers,
1911,ESSEX,Male,corn dealer assisting,687,41010,1,41020,CORN FLOUR AND SEED MERCHANTS DEALERS,Working Proprietor (Wholesale Trade),
1911,LONDON,Female,millener trade school,55,39900,1,39990,"OTHERS CONNECTED WITH EDUCATION - SCHOOL SERVICE GENERAL, ATTENDANTS, CLERKS, ETC",Other Clerks,
1911,NORTHUMBERLAND,Male,assisting engr wks store,303,74200,1,83920,ARMS AND ORDNANCE - OTHERS,Gunsmith,
1911,MONMOUTHSHIRE,Male,electriction,284,85100,2,85320,ELECTRICAL CABLE MAKERS,Electrical Equipment Assembler,simple
